#  Timestamp,  Temperature [2 m elevation corrected], Relative Humidity [2 m], Wind Speed [10 m], Wind Direction [10 m]
20201207 2000,-2.431812,90.0,20.304129,232.92693
20201207 2100,-3.751812,89.0,19.67195,235.43748
20201207 2200,-3.981812,90.0,18.35647,228.17984
20201207 2300,-3.5818121,91.0,17.566378,224.16968
20201208 0000,-2.871812,94.0,15.782622,225.0
20201208 0100,-1.5518119,95.0,13.779114,213.27489
20201208 0200,-0.35181195,96.0,14.8257065,209.05461
20201208 0300,0.13818803,97.0,14.186923,215.7067
20201208 0400,0.42818806,100.0,14.773164,226.97495
20201208 0500,0.5481881,100.0,16.981165,237.99463
20201208 0600,0.41818807,99.0,18.847641,241.47688
20201208 0700,0.39818802,99.0,20.774214,242.10274
20201208 0800,0.43818805,99.0,22.26477,247.16635
20201208 0900,0.48818806,99.0,22.206486,250.09625
20201208 1000,0.5581881,99.0,24.627787,254.74487
20201208 1100,0.70818806,98.0,25.212852,260.1342
20201208 1200,0.7981881,98.0,25.264202,265.91437
20201208 1300,0.85818803,97.0,28.521906,274.34326
20201208 1400,1.088188,97.0,31.353085,285.3128
20201208 1500,0.988188,97.0,33.34035,294.90475
20201208 1600,0.44818804,99.0,34.54687,303.52448
20201208 1700,0.27818805,91.0,33.696075,306.74747
20201208 1800,-0.33181196,90.0,30.676142,305.9285
20201208 1900,-1.381812,92.0,27.257967,303.69006
20201208 2000,-2.471812,95.0,23.507753,297.34985
20201208 2100,-3.301812,96.0,21.175835,287.8189
20201208 2200,-3.631812,97.0,20.478907,280.1247
20201208 2300,-3.291812,96.0,20.674158,277.00128
